Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,SQ_INSTS_VALU_TRANS_F16,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_FMA_F32,TA_BUFFER_ATOMIC_WAVEFRONTS_sum,TA_BUFFER_TOTAL_CYCLES_sum,TD_ATOMIC_WAVEFRONT_sum,TD_STORE_WAVEFRONT_sum,TCP_VOLATILE_sum,TCP_TOTAL_ACCESSES_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum,TCC_EA0_RDREQ[0],TCC_EA0_RDREQ_32B[0],TCC_EA0_WRREQ[0],TCC_EA0_WRREQ_64B[0],TCC_EA0_RDREQ[1],TCC_EA0_RDREQ_32B[1],TCC_EA0_WRREQ[1],TCC_EA0_WRREQ_64B[1],TCC_EA0_RDREQ[2],TCC_EA0_RDREQ_32B[2],TCC_EA0_WRREQ[2],TCC_EA0_WRREQ_64B[2],TCC_EA0_RDREQ[3],TCC_EA0_RDREQ_32B[3],TCC_EA0_WRREQ[3],TCC_EA0_WRREQ_64B[3],TCC_EA0_RDREQ[4],TCC_EA0_RDREQ_32B[4],TCC_EA0_WRREQ[4],TCC_EA0_WRREQ_64B[4],TCC_EA0_RDREQ[5],TCC_EA0_RDREQ_32B[5],TCC_EA0_WRREQ[5],TCC_EA0_WRREQ_64B[5],TCC_EA0_RDREQ[6],TCC_EA0_RDREQ_32B[6],TCC_EA0_WRREQ[6],TCC_EA0_WRREQ_64B[6],TCC_EA0_RDREQ[7],TCC_EA0_RDREQ_32B[7],TCC_EA0_WRREQ[7],TCC_EA0_WRREQ_64B[7],TCC_EA0_RDREQ[8],TCC_EA0_RDREQ_32B[8],TCC_EA0_WRREQ[8],TCC_EA0_WRREQ_64B[8],TCC_EA0_RDREQ[9],TCC_EA0_RDREQ_32B[9],TCC_EA0_WRREQ[9],TCC_EA0_WRREQ_64B[9],TCC_EA0_RDREQ[10],TCC_EA0_RDREQ_32B[10],TCC_EA0_WRREQ[10],TCC_EA0_WRREQ_64B[10],TCC_EA0_RDREQ[11],TCC_EA0_RDREQ_32B[11],TCC_EA0_WRREQ[11],TCC_EA0_WRREQ_64B[11],TCC_EA0_RDREQ[12],TCC_EA0_RDREQ_32B[12],TCC_EA0_WRREQ[12],TCC_EA0_WRREQ_64B[12],TCC_EA0_RDREQ[13],TCC_EA0_RDREQ_32B[13],TCC_EA0_WRREQ[13],TCC_EA0_WRREQ_64B[13],TCC_EA0_RDREQ[14],TCC_EA0_RDREQ_32B[14],TCC_EA0_WRREQ[14],TCC_EA0_WRREQ_64B[14],TCC_EA0_RDREQ[15],TCC_EA0_RDREQ_32B[15],TCC_EA0_WRREQ[15],TCC_EA0_WRREQ_64B[15],CPC_CPC_STAT_STALL,CPC_UTCL1_STALL_ON_TRANSLATION,CPF_CPF_STAT_IDLE,CPF_CPF_TCIU_IDLE,SPI_RA_REQ_NO_ALLOC,SPI_RA_REQ_NO_ALLOC_CSN,GRBM_COUNT,GRBM_GUI_ACTIVE,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
10,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,50,4316,4316,2097152,512,32768,0,4,132,32,64,0x0,0x745290de60c0,32768,116064256,23296433,1864295404,0,0,33554432,33554432,0.0,0.0,0.0,1048576.0,1358954496.0,1358954496.0,1342177280.0,16777216.0,1144620,0,140185,139696,1144517,0,140366,139874,1144843,0,140084,139622,1144596,0,140456,139952,1144766,0,140086,139577,1144367,0,140305,139799,1144652,0,140164,139640,1144411,0,140326,139805,1144547,0,140233,139725,1144414,0,140439,139917,1144583,0,140155,139650,1144413,0,140387,139881,1144607,0,140178,139635,1144436,0,140301,139793,1144419,0,140190,139653,1144261,0,140342,139815,1122784,8408,0,72114303,66528697,74009,72134430,72134430,1930621293400874,1930750837756800,1930750842184419,1930621299028695
11,__amd_rocclr_copyBuffer.kd,2,0,56,4316,4316,1024,512,0,0,16,0,32,64,0x0,0x745291833a80,16,160,260,20880,0,0,0,0,0.0,0.0,0.0,16.0,2048.0,2048.0,1024.0,1024.0,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,63632,8114,0,108239,0,16,131490,131490,1930621303683070,1930750845325418,1930750845328463,1930621304358818
12,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,59,4316,4316,2097152,512,32768,0,4,132,32,64,0x0,0x745290de60c0,32768,116064256,23301598,1864297220,0,0,33554432,33554432,0.0,0.0,0.0,1048576.0,1358954496.0,1358954496.0,1342177280.0,16777216.0,1057763,0,140120,139774,1057952,0,140253,139887,1057858,0,140126,139804,1058063,0,140231,139874,1057749,0,140085,139739,1057788,0,140176,139812,1057774,0,140142,139801,1057812,0,140221,139857,1057646,0,139897,139591,1057819,0,139927,139646,1057691,0,139850,139577,1057723,0,139918,139636,1057632,0,139900,139593,1057718,0,139894,139609,1057641,0,139941,139626,1057598,0,139939,139642,1146803,8600,0,72033505,66513757,65286,72056638,72056638,1930621305524259,1930750845357346,1930750849778596,1930621311136488
13,__amd_rocclr_copyBuffer.kd,2,0,65,4316,4316,1024,512,0,0,16,0,32,64,0x0,0x745291833a80,16,160,275,20736,0,0,0,0,0.0,0.0,0.0,16.0,2048.0,2048.0,1024.0,1024.0,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,63210,8116,0,107688,0,16,130618,130618,1930621315747147,1930750852916871,1930750852920036,1930621316395234
14,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,68,4316,4316,2097152,512,32768,0,4,132,32,64,0x0,0x745290de60c0,32768,116064256,23396270,1872046184,0,0,33554432,33554432,0.0,0.0,0.0,1048576.0,1358954496.0,1358954496.0,1342177280.0,16777216.0,1158130,0,140407,140084,1158229,0,140663,140328,1158285,0,140385,140076,1158377,0,140611,140309,1157980,0,140379,140075,1158158,0,140624,140304,1158047,0,140424,140111,1158190,0,140659,140323,1158107,0,140468,140155,1158218,0,140594,140293,1158012,0,140481,140163,1158222,0,140551,140259,1158045,0,140441,140130,1158174,0,140589,140270,1157999,0,140478,140163,1158055,0,140600,140269,1116485,8405,0,72109610,66558422,68678,72131286,72131286,1930621317580905,1930750852948197,1930750857388475,1930621323193384
15,__amd_rocclr_copyBuffer.kd,2,0,74,4316,4316,1024,512,0,0,16,0,32,64,0x0,0x745291833a80,16,160,200,16236,0,0,0,0,0.0,0.0,0.0,16.0,2048.0,2048.0,1024.0,1024.0,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,63368,7926,0,107932,0,16,130988,130988,1930621327843001,1930750860516415,1930750860519179,1930621328483237
16,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,77,4316,4316,2097152,512,32768,0,4,132,32,64,0x0,0x745290de60c0,32768,116064256,23409896,1872765300,0,0,33554432,33554432,0.0,0.0,0.0,1048576.0,1358954496.0,1358954496.0,1342177280.0,16777216.0,1132802,0,140915,140487,1132382,0,140597,140138,1133102,0,140906,140486,1132688,0,140555,140121,1132858,0,140938,140516,1132421,0,140602,140124,1132899,0,140962,140513,1132552,0,140627,140130,1132933,0,140766,140378,1132616,0,140474,140096,1132881,0,140740,140378,1132524,0,140477,140089,1132914,0,140761,140373,1132515,0,140477,140080,1132636,0,140802,140400,1132318,0,140520,140122,1109980,8412,0,72000415,66508851,64398,72023523,72023523,1930621329645173,1930750860541933,1930750864963944,1930621335295248
17,__amd_rocclr_copyBuffer.kd,2,0,83,4316,4316,1024,512,0,0,16,0,32,64,0x0,0x745291833a80,16,160,227,18036,0,0,0,0,0.0,0.0,0.0,16.0,2048.0,2048.0,1024.0,1024.0,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,64209,7932,0,108644,0,16,132012,132012,1930621340097169,1930750868087638,1930750868090562,1930621340706499
18,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,86,4316,4316,2097152,512,32768,0,4,132,32,64,0x0,0x745290de60c0,32768,116064256,23379622,1869612356,0,0,33554432,33554432,0.0,0.0,0.0,1048576.0,1358954496.0,1358954496.0,1342177280.0,16777216.0,1132936,0,140464,140056,1132956,0,140729,140275,1132984,0,140465,140057,1132976,0,140763,140317,1133061,0,140450,140022,1133016,0,140736,140274,1132924,0,140460,140043,1133074,0,140774,140305,1132985,0,140589,140143,1132966,0,140824,140361,1133023,0,140587,140157,1133006,0,140883,140432,1133010,0,140600,140136,1133189,0,140855,140390,1132968,0,140600,140147,1133176,0,140912,140419,1129839,8548,0,72265350,66698106,61951,72287604,72287604,1930621341824761,1930750868114798,1930750872544060,1930621347443830
19,__amd_rocclr_copyBuffer.kd,2,0,92,4316,4316,1024,512,0,0,16,0,32,64,0x0,0x745291833a80,16,160,219,17212,0,0,0,0,0.0,0.0,0.0,16.0,2048.0,2048.0,1024.0,1024.0,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,63733,8122,0,109016,0,16,132106,132106,1930621352165042,1930750875657859,1930750875660903,1930621352797185
