Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,SQ_INSTS_VALU_CVT,SQ_INSTS_VMEM_WR,SQ_INSTS_VMEM_RD,SQ_INSTS_SALU,SQ_INSTS_VSKIPPED,TA_TA_BUSY_sum,TA_BUFFER_WAVEFRONTS_sum,TD_TD_BUSY_sum,TD_TC_STALL_sum,TCP_GATE_EN1_sum,TCP_GATE_EN2_sum,TCP_TD_TCP_STALL_CYCLES_sum,TCP_TCR_TCP_STALL_CYCLES_sum,TCC_CYCLE[0],TCC_RW_REQ[0],TCC_HIT[0],TCC_MISS[0],TCC_CYCLE[1],TCC_RW_REQ[1],TCC_HIT[1],TCC_MISS[1],TCC_CYCLE[2],TCC_RW_REQ[2],TCC_HIT[2],TCC_MISS[2],TCC_CYCLE[3],TCC_RW_REQ[3],TCC_HIT[3],TCC_MISS[3],TCC_CYCLE[4],TCC_RW_REQ[4],TCC_HIT[4],TCC_MISS[4],TCC_CYCLE[5],TCC_RW_REQ[5],TCC_HIT[5],TCC_MISS[5],TCC_CYCLE[6],TCC_RW_REQ[6],TCC_HIT[6],TCC_MISS[6],TCC_CYCLE[7],TCC_RW_REQ[7],TCC_HIT[7],TCC_MISS[7],TCC_CYCLE[8],TCC_RW_REQ[8],TCC_HIT[8],TCC_MISS[8],TCC_CYCLE[9],TCC_RW_REQ[9],TCC_HIT[9],TCC_MISS[9],TCC_CYCLE[10],TCC_RW_REQ[10],TCC_HIT[10],TCC_MISS[10],TCC_CYCLE[11],TCC_RW_REQ[11],TCC_HIT[11],TCC_MISS[11],TCC_CYCLE[12],TCC_RW_REQ[12],TCC_HIT[12],TCC_MISS[12],TCC_CYCLE[13],TCC_RW_REQ[13],TCC_HIT[13],TCC_MISS[13],TCC_CYCLE[14],TCC_RW_REQ[14],TCC_HIT[14],TCC_MISS[14],TCC_CYCLE[15],TCC_RW_REQ[15],TCC_HIT[15],TCC_MISS[15],CPC_CPC_STAT_BUSY,CPC_CPC_STAT_IDLE,CPF_CPF_STAT_BUSY,CPF_CPF_STAT_STALL,SPI_CSN_WINDOW_VALID,SPI_CSN_BUSY,GRBM_SPI_BUSY,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
10,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,50,4868,4868,2097152,512,32768,0,4,132,32,64,0x0,0x740647ee60c0,22020096,192980046,15435366324,0,1048576,20971520,38273024,0,548839404.0,0.0,827239895.0,472662635.0,2734518465.0,872626789.0,492304.0,157790.0,72053397,4525184,3309878,1215330,72053397,4525504,3310201,1215312,72053397,4525264,3309991,1215285,72053397,4525184,3309864,1215344,72053397,4525904,3310695,1215219,72053397,4525824,3310557,1215283,72053397,4525824,3310670,1215172,72053397,4525824,3310638,1215196,72053397,4525184,3310040,1215165,72053397,4525504,3310272,1215240,72053397,4525264,3309942,1215334,72053397,4525184,3309811,1215398,72053397,4525904,3310779,1215133,72053397,4525824,3310738,1215104,72053397,4525824,3310790,1215051,72053397,4525824,3310598,1215236,72053397,0,72053397,77,288213588,287796782,71952065,1930649247100471,1930750837756800,1930750842184419,1930649252691769
11,__amd_rocclr_copyBuffer.kd,2,0,56,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,762,61004,0,16,16,304,0,2599.0,0.0,7990.0,7662.0,1097476.0,8098.0,4.0,0.0,134581,20,10,18,134581,20,10,19,134581,20,10,18,134581,20,10,18,134581,16,8,16,134581,18,10,20,134581,20,10,22,134581,20,10,18,134581,20,10,18,134581,20,10,19,134581,20,10,18,134581,20,10,18,134581,16,8,16,134581,18,10,20,134581,20,10,22,134581,20,10,18,134581,0,134581,0,538324,50528,23552,1930649257324891,1930750845325418,1930750845328463,1930649257917096
12,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,59,4868,4868,2097152,512,32768,0,4,132,32,64,0x0,0x740647ee60c0,22020096,193334084,15463659164,0,1048576,20971520,38273024,0,548448871.0,0.0,827087489.0,472508053.0,2733880189.0,872481736.0,491607.0,279043.0,72043245,4525112,3297333,1227799,72043245,4525432,3297604,1227845,72043245,4525192,3297407,1227797,72043245,4525112,3297292,1227842,72043245,4525832,3297866,1227971,72043245,4525752,3297817,1227953,72043245,4525752,3297815,1227958,72043245,4525752,3297973,1227789,72043245,4525112,3297304,1227826,72043245,4525432,3297722,1227724,72043245,4525191,3297162,1228042,72043245,4525112,3297186,1227945,72043245,4525832,3297843,1227993,72043245,4525752,3297858,1227912,72043245,4525752,3297803,1227967,72043245,4525752,3297870,1227890,72043245,0,72043245,77,288172980,287729716,71938502,1930649259040305,1930750845357346,1930750849778596,1930649264641437
13,__amd_rocclr_copyBuffer.kd,2,0,65,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,735,58848,0,16,16,304,0,2471.0,0.0,7682.0,7348.0,1081114.0,7795.0,5.0,0.0,132338,20,10,18,132338,20,10,19,132338,20,10,18,132338,20,10,18,132338,16,8,16,132338,18,10,20,132338,20,10,22,132338,20,10,18,132338,20,10,18,132338,20,10,19,132338,20,10,18,132338,20,10,18,132338,16,8,16,132338,18,10,20,132338,20,10,22,132338,20,10,18,132338,0,132338,0,529352,49878,22862,1930649269220510,1930750852916871,1930750852920036,1930649269808168
14,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,68,4868,4868,2097152,512,32768,0,4,132,32,64,0x0,0x740647ee60c0,22020096,192709267,15413997788,0,1048576,20971520,38273024,0,548966707.0,0.0,827342983.0,472767344.0,2734212505.0,872726851.0,492511.0,171968.0,72048308,4525184,3314230,1210976,72048308,4525504,3314550,1210970,72048308,4525264,3314451,1210826,72048308,4525184,3314345,1210858,72048308,4525904,3314939,1210970,72048308,4525824,3314955,1210886,72048308,4525824,3314883,1210959,72048308,4525824,3314991,1210843,72048308,4525184,3314394,1210814,72048308,4525504,3314809,1210714,72048308,4525264,3314317,1210960,72048308,4525184,3314154,1211054,72048308,4525904,3315106,1210802,72048308,4525824,3315041,1210801,72048308,4525824,3314985,1210856,72048308,4525824,3315105,1210728,72048308,0,72048308,0,288193232,287764760,71946771,1930649270963525,1930750852948197,1930750857388475,1930649276528383
15,__amd_rocclr_copyBuffer.kd,2,0,74,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,727,58012,0,16,16,304,0,2412.0,0.0,7562.0,7237.0,1089516.0,7671.0,1.0,0.0,131514,20,10,18,131514,20,10,19,131514,20,10,18,131514,20,10,18,131514,16,8,16,131514,18,10,20,131514,20,10,22,131514,20,10,18,131514,20,10,18,131514,20,10,19,131514,20,10,18,131514,20,10,18,131514,16,8,16,131514,18,10,20,131514,20,10,22,131514,20,10,18,131514,0,131514,0,526056,49733,22751,1930649281164981,1930750860516415,1930750860519179,1930649281749054
16,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,77,4868,4868,2097152,512,32768,0,4,132,32,64,0x0,0x740647ee60c0,22020096,192372572,15386788340,0,1048576,20971520,38273024,0,549225056.0,0.0,825850937.0,471289992.0,2732703825.0,871220536.0,491327.0,130376.0,72005879,4525120,3316145,1208995,72005879,4525440,3316781,1208667,72005879,4525200,3316358,1208854,72005879,4525120,3316434,1208709,72005879,4525840,3316902,1208947,72005879,4525759,3317073,1208702,72005879,4525760,3316785,1208995,72005879,4525760,3317172,1208600,72005879,4525120,3316289,1208850,72005879,4525440,3316899,1208551,72005879,4525200,3316367,1208845,72005879,4525120,3316430,1208715,72005879,4525840,3317091,1208758,72005879,4525760,3317073,1208705,72005879,4525757,3316920,1208857,72005879,4525760,3316989,1208784,72005879,0,72005879,0,288023516,287605746,71904306,1930649282919252,1930750860541933,1930750864963944,1930649288481818
17,__amd_rocclr_copyBuffer.kd,2,0,83,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,756,60796,0,16,16,304,0,2535.0,0.0,8002.0,7667.0,1085749.0,8113.0,1.0,0.0,129500,20,10,18,129500,20,10,19,129500,20,10,18,129500,20,10,18,129500,16,8,16,129500,18,10,20,129500,20,10,22,129500,20,10,18,129500,20,10,18,129500,20,10,19,129500,20,10,18,129500,20,10,18,129500,16,8,16,129500,18,10,20,129500,20,10,22,129500,20,10,18,129500,0,129500,0,518000,50394,23410,1930649293097845,1930750868087638,1930750868090562,1930649293680315
18,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,86,4868,4868,2097152,512,32768,0,4,132,32,64,0x0,0x740647ee60c0,22020096,193642056,15488567088,0,1048576,20971520,38273024,0,552607339.0,0.0,830128211.0,475563108.0,2738241912.0,875473363.0,493576.0,212854.0,72152354,4525184,3335005,1190195,72152354,4525504,3335384,1190133,72152354,4525264,3335064,1190213,72152354,4525184,3335032,1190173,72152354,4525904,3335583,1190326,72152354,4525824,3335718,1190122,72152354,4525824,3335497,1190345,72152354,4525824,3335655,1190179,72152354,4525184,3334989,1190211,72152354,4525504,3335405,1190112,72152354,4525264,3335112,1190165,72152354,4525184,3335064,1190139,72152354,4525904,3335660,1190248,72152354,4525824,3335612,1190230,72152354,4525824,3335565,1190277,72152354,4525824,3335579,1190256,72152354,0,72152354,77,288609416,288188740,72050255,1930649294426828,1930750868114798,1930750872544060,1930649299943716
19,__amd_rocclr_copyBuffer.kd,2,0,92,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,755,60528,0,16,16,304,0,2631.0,0.0,7926.0,7595.0,1093926.0,8034.0,1.0,0.0,132100,20,10,18,132100,20,10,19,132100,20,10,18,132100,20,10,18,132100,16,8,16,132100,18,10,20,132100,20,10,22,132100,20,10,18,132100,20,10,18,132100,20,10,19,132100,20,10,18,132100,20,10,18,132100,16,8,16,132100,18,10,20,132100,20,10,22,132100,20,10,18,132100,0,132100,0,528400,50173,23177,1930649304578061,1930750875657859,1930750875660903,1930649305158358
