Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
23,__amd_rocclr_copyBuffer.kd,2,0,110,6892,6892,1024,512,0,0,16,0,32,64,0x0,0x7a0186c43a80,1930750890763462,1930750890773708,1930750890776913,1930750890781749
24,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,113,6892,6892,2097152,512,32768,0,4,132,32,64,0x0,0x7a0186c160c0,1930750890786216,1930750890801588,1930750895226524,1930750895226744
25,__amd_rocclr_copyBuffer.kd,2,0,119,6892,6892,1024,512,0,0,16,0,32,64,0x0,0x7a0186c43a80,1930750898326172,1930750898336117,1930750898339441,1930750898339532
26,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,122,6892,6892,2097152,512,32768,0,4,132,32,64,0x0,0x7a0186c160c0,1930750898353693,1930750898362996,1930750902787251,1930750902787722
27,__amd_rocclr_copyBuffer.kd,2,0,128,6892,6892,1024,512,0,0,16,0,32,64,0x0,0x7a0186c43a80,1930750905879258,1930750905889953,1930750905892758,1930750905893018
28,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,131,6892,6892,2097152,512,32768,0,4,132,32,64,0x0,0x7a0186c160c0,1930750905904916,1930750905914269,1930750910341729,1930750910341899
29,__amd_rocclr_copyBuffer.kd,2,0,137,6892,6892,1024,512,0,0,16,0,32,64,0x0,0x7a0186c43a80,1930750913432795,1930750913443310,1930750913446234,1930750913446525
30,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,140,6892,6892,2097152,512,32768,0,4,132,32,64,0x0,0x7a0186c160c0,1930750913459574,1930750913468066,1930750917890077,1930750917890128
31,__amd_rocclr_copyBuffer.kd,2,0,146,6892,6892,1024,512,0,0,16,0,32,64,0x0,0x7a0186c43a80,1930750920981124,1930750920991538,1930750920994703,1930750920995175
32,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,149,6892,6892,2097152,512,32768,0,4,132,32,64,0x0,0x7a0186c160c0,1930750921009957,1930750921018818,1930750925445637,1930750925445909
33,"ref_kernel(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, int, int, int) [clone .kd]",2,0,151,6892,6892,67108864,256,0,0,52,4,48,64,0x0,0x7a0186c15fc0,1930750925507720,1930750925516017,1930751141927685,1930751141932222
