Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,SQ_INSTS,SQ_INSTS_VALU,SQ_INSTS_VALU_ADD_F16,SQ_INSTS_VALU_MUL_F16,SQ_INSTS_VALU_FMA_F16,TA_BUFFER_READ_WAVEFRONTS_sum,TA_BUFFER_WRITE_WAVEFRONTS_sum,TD_SPI_STALL_sum,TD_LOAD_WAVEFRONT_sum,TCP_READ_TAGCONFLICT_STALL_CYCLES_sum,TCP_WRITE_TAGCONFLICT_STALL_CYCLES_sum,TCP_ATOMIC_TAGCONFLICT_STALL_CYCLES_sum,TCP_TA_TCP_STATE_READ_sum,TCC_REQ[0],TCC_READ[0],TCC_WRITE[0],TCC_ATOMIC[0],TCC_REQ[1],TCC_READ[1],TCC_WRITE[1],TCC_ATOMIC[1],TCC_REQ[2],TCC_READ[2],TCC_WRITE[2],TCC_ATOMIC[2],TCC_REQ[3],TCC_READ[3],TCC_WRITE[3],TCC_ATOMIC[3],TCC_REQ[4],TCC_READ[4],TCC_WRITE[4],TCC_ATOMIC[4],TCC_REQ[5],TCC_READ[5],TCC_WRITE[5],TCC_ATOMIC[5],TCC_REQ[6],TCC_READ[6],TCC_WRITE[6],TCC_ATOMIC[6],TCC_REQ[7],TCC_READ[7],TCC_WRITE[7],TCC_ATOMIC[7],TCC_REQ[8],TCC_READ[8],TCC_WRITE[8],TCC_ATOMIC[8],TCC_REQ[9],TCC_READ[9],TCC_WRITE[9],TCC_ATOMIC[9],TCC_REQ[10],TCC_READ[10],TCC_WRITE[10],TCC_ATOMIC[10],TCC_REQ[11],TCC_READ[11],TCC_WRITE[11],TCC_ATOMIC[11],TCC_REQ[12],TCC_READ[12],TCC_WRITE[12],TCC_ATOMIC[12],TCC_REQ[13],TCC_READ[13],TCC_WRITE[13],TCC_ATOMIC[13],TCC_REQ[14],TCC_READ[14],TCC_WRITE[14],TCC_ATOMIC[14],TCC_REQ[15],TCC_READ[15],TCC_WRITE[15],TCC_ATOMIC[15],CPC_CPC_TCIU_BUSY,CPC_CPC_TCIU_IDLE,CPF_CPF_TCIU_BUSY,CPF_CPF_TCIU_STALL,SPI_CSN_NUM_THREADGROUPS,SPI_CSN_WAVE,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
10,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,50,4684,4684,2097152,512,32768,0,4,132,32,64,0x0,0x76a4e45060c0,2195456,2680090,214628008,532185088,391905280,0,0,0,0.0,0.0,1484.0,22020096.0,0.0,0.0,0.0,22020096.0,4525831,4263687,262144,0,4525824,4263680,262144,0,4525840,4263696,262144,0,4525828,4263684,262144,0,4525275,4263131,262144,0,4525295,4263151,262144,0,4525545,4263401,262144,0,4525191,4263047,262144,0,4525832,4263688,262144,0,4525824,4263680,262144,0,4525841,4263697,262144,0,4525828,4263684,262144,0,4525275,4263131,262144,0,4525289,4263145,262144,0,4525546,4263402,262144,0,4525191,4263047,262144,0,1186,72108749,21134,0,4096,32768,1930639921736658,1930750837756800,1930750842184419,1930639927330250
11,__amd_rocclr_copyBuffer.kd,2,0,56,4684,4684,1024,512,0,0,16,0,32,64,0x0,0x76a4e501ba80,32,294,23376,752,256,0,0,0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,1394,131902,23066,0,2,16,1930639931930063,1930750845325418,1930750845328463,1930639932565912
12,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,59,4684,4684,2097152,512,32768,0,4,132,32,64,0x0,0x76a4e45060c0,2195456,2727904,218182080,532185088,391905280,0,0,0,0.0,0.0,1570.0,22020096.0,0.0,0.0,0.0,22020096.0,4525792,4263648,262144,0,4525786,4263642,262144,0,4525809,4263665,262144,0,4525792,4263648,262144,0,4525239,4263095,262144,0,4525253,4263109,262144,0,4525504,4263360,262144,0,4525161,4263017,262144,0,4525792,4263648,262144,0,4525788,4263644,262144,0,4525808,4263664,262144,0,4525792,4263648,262144,0,4525239,4263095,262144,0,4525252,4263108,262144,0,4525505,4263361,262144,0,4525163,4263019,262144,0,1186,72202998,22309,0,4096,32768,1930639933717533,1930750845357346,1930750849778596,1930639939042898
13,__amd_rocclr_copyBuffer.kd,2,0,65,4684,4684,1024,512,0,0,16,0,32,64,0x0,0x76a4e501ba80,32,194,14816,752,256,0,0,0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,1394,130356,22766,0,2,16,1930639943685965,1930750852916871,1930750852920036,1930639944314834
14,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,68,4684,4684,2097152,512,32768,0,4,132,32,64,0x0,0x76a4e45060c0,2195456,2754340,220502808,532185088,391905280,0,0,0,0.0,0.0,1579.0,22020096.0,0.0,0.0,0.0,22020096.0,4525830,4263686,262144,0,4525824,4263680,262144,0,4525840,4263696,262144,0,4525828,4263684,262144,0,4525277,4263133,262144,0,4525295,4263151,262144,0,4525544,4263400,262144,0,4525190,4263046,262144,0,4525830,4263686,262144,0,4525824,4263680,262144,0,4525845,4263701,262144,0,4525828,4263684,262144,0,4525276,4263132,262144,0,4525294,4263150,262144,0,4525554,4263410,262144,0,4525190,4263046,262144,0,1186,72278531,22668,0,4096,32768,1930639945469930,1930750852948197,1930750857388475,1930639951022471
15,__amd_rocclr_copyBuffer.kd,2,0,74,4684,4684,1024,512,0,0,16,0,32,64,0x0,0x76a4e501ba80,32,184,15024,752,256,0,0,0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,1394,131864,22613,0,2,16,1930639955651327,1930750860516415,1930750860519179,1930639956284983
16,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,77,4684,4684,2097152,512,32768,0,4,132,32,64,0x0,0x76a4e45060c0,2195456,2763780,221153360,532185088,391905280,0,0,0,0.0,0.0,1548.0,22020096.0,0.0,0.0,0.0,22020096.0,4525779,4263635,262144,0,4525775,4263631,262144,0,4525794,4263650,262144,0,4525780,4263636,262144,0,4525228,4263084,262144,0,4525242,4263098,262144,0,4525492,4263348,262144,0,4525142,4262998,262144,0,4525780,4263636,262144,0,4525776,4263632,262144,0,4525794,4263650,262144,0,4525779,4263635,262144,0,4525229,4263085,262144,0,4525242,4263098,262144,0,4525492,4263348,262144,0,4525143,4262999,262144,0,1186,72179689,25081,0,4096,32768,1930639957429654,1930750860541933,1930750864963944,1930639962963146
17,__amd_rocclr_copyBuffer.kd,2,0,83,4684,4684,1024,512,0,0,16,0,32,64,0x0,0x76a4e501ba80,32,320,24224,752,256,0,0,0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,1394,133982,22903,0,2,16,1930639967532765,1930750868087638,1930750868090562,1930639968163877
18,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,86,4684,4684,2097152,512,32768,0,4,132,32,64,0x0,0x76a4e45060c0,2195456,2734610,218632096,532185088,391905280,0,0,0,0.0,0.0,1571.0,22020096.0,0.0,0.0,0.0,22020096.0,4525830,4263686,262144,0,4525824,4263680,262144,0,4525845,4263701,262144,0,4525828,4263684,262144,0,4525276,4263132,262144,0,4525295,4263151,262144,0,4525541,4263397,262144,0,4525196,4263052,262144,0,4525832,4263688,262144,0,4525824,4263680,262144,0,4525842,4263698,262144,0,4525828,4263684,262144,0,4525276,4263132,262144,0,4525295,4263151,262144,0,4525540,4263396,262144,0,4525196,4263052,262144,0,1186,72139721,21902,0,4096,32768,1930639969311933,1930750868114798,1930750872544060,1930639974848189
19,__amd_rocclr_copyBuffer.kd,2,0,92,4684,4684,1024,512,0,0,16,0,32,64,0x0,0x76a4e501ba80,32,252,20848,752,256,0,0,0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,1394,133070,22612,0,2,16,1930639979390638,1930750875657859,1930750875660903,1930639980004454
