Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,SQ_INSTS,SQ_INSTS_VALU,SQ_INSTS_VALU_ADD_F16,SQ_INSTS_VALU_MUL_F16,SQ_INSTS_VALU_FMA_F16,TA_BUFFER_READ_WAVEFRONTS_sum,TA_BUFFER_WRITE_WAVEFRONTS_sum,TD_SPI_STALL_sum,TD_LOAD_WAVEFRONT_sum,TCP_READ_TAGCONFLICT_STALL_CYCLES_sum,TCP_WRITE_TAGCONFLICT_STALL_CYCLES_sum,TCP_ATOMIC_TAGCONFLICT_STALL_CYCLES_sum,TCP_TA_TCP_STATE_READ_sum,TCC_REQ[0],TCC_READ[0],TCC_WRITE[0],TCC_ATOMIC[0],TCC_REQ[1],TCC_READ[1],TCC_WRITE[1],TCC_ATOMIC[1],TCC_REQ[2],TCC_READ[2],TCC_WRITE[2],TCC_ATOMIC[2],TCC_REQ[3],TCC_READ[3],TCC_WRITE[3],TCC_ATOMIC[3],TCC_REQ[4],TCC_READ[4],TCC_WRITE[4],TCC_ATOMIC[4],TCC_REQ[5],TCC_READ[5],TCC_WRITE[5],TCC_ATOMIC[5],TCC_REQ[6],TCC_READ[6],TCC_WRITE[6],TCC_ATOMIC[6],TCC_REQ[7],TCC_READ[7],TCC_WRITE[7],TCC_ATOMIC[7],TCC_REQ[8],TCC_READ[8],TCC_WRITE[8],TCC_ATOMIC[8],TCC_REQ[9],TCC_READ[9],TCC_WRITE[9],TCC_ATOMIC[9],TCC_REQ[10],TCC_READ[10],TCC_WRITE[10],TCC_ATOMIC[10],TCC_REQ[11],TCC_READ[11],TCC_WRITE[11],TCC_ATOMIC[11],TCC_REQ[12],TCC_READ[12],TCC_WRITE[12],TCC_ATOMIC[12],TCC_REQ[13],TCC_READ[13],TCC_WRITE[13],TCC_ATOMIC[13],TCC_REQ[14],TCC_READ[14],TCC_WRITE[14],TCC_ATOMIC[14],TCC_REQ[15],TCC_READ[15],TCC_WRITE[15],TCC_ATOMIC[15],CPC_CPC_TCIU_BUSY,CPC_CPC_TCIU_IDLE,CPF_CPF_TCIU_BUSY,CPF_CPF_TCIU_STALL,SPI_CSN_NUM_THREADGROUPS,SPI_CSN_WAVE,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
20,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,95,4684,4684,2097152,512,32768,0,4,132,32,64,0x0,0x76a4e45060c0,2195456,2741060,219189448,532185088,391905280,0,0,0,0.0,0.0,1581.0,22020096.0,0.0,0.0,0.0,22020096.0,4525776,4263632,262144,0,4525772,4263628,262144,0,4525788,4263644,262144,0,4525775,4263631,262144,0,4525224,4263080,262144,0,4525245,4263101,262144,0,4525496,4263352,262144,0,4525139,4262995,262144,0,4525776,4263632,262144,0,4525772,4263628,262144,0,4525788,4263644,262144,0,4525776,4263632,262144,0,4525224,4263080,262144,0,4525241,4263097,262144,0,4525496,4263352,262144,0,4525138,4262994,262144,0,1186,72140676,21130,0,4096,32768,1930639981151799,1930750875685259,1930750880114561,1930639986685282
21,__amd_rocclr_copyBuffer.kd,2,0,101,4684,4684,1024,512,0,0,16,0,32,64,0x0,0x76a4e501ba80,32,314,25280,752,256,0,0,0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,1394,133758,23567,0,2,16,1930639991252587,1930750883216543,1930750883219547,1930639991875016
22,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,104,4684,4684,2097152,512,32768,0,4,132,32,64,0x0,0x76a4e45060c0,2195456,2723750,217839344,532185088,391905280,0,0,0,0.0,0.0,1533.0,22020096.0,0.0,0.0,0.0,22020096.0,4525828,4263684,262144,0,4525824,4263680,262144,0,4525838,4263694,262144,0,4525828,4263684,262144,0,4525275,4263131,262144,0,4525289,4263145,262144,0,4525541,4263397,262144,0,4525188,4263044,262144,0,4525829,4263685,262144,0,4525824,4263680,262144,0,4525838,4263694,262144,0,4525828,4263684,262144,0,4525277,4263133,262144,0,4525291,4263147,262144,0,4525543,4263399,262144,0,4525188,4263044,262144,0,1186,72171916,24171,0,4096,32768,1930639992983373,1930750883240218,1930750887672684,1930639998566068
23,__amd_rocclr_copyBuffer.kd,2,0,110,4684,4684,1024,512,0,0,16,0,32,64,0x0,0x76a4e501ba80,32,220,17720,752,256,0,0,0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,1394,134336,22925,0,2,16,1930640003127245,1930750890773708,1930750890776913,1930640003741592
24,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,113,4684,4684,2097152,512,32768,0,4,132,32,64,0x0,0x76a4e45060c0,2195456,2665616,213337920,532185088,391905280,0,0,0,0.0,0.0,1576.0,22020096.0,0.0,0.0,0.0,22020096.0,4525769,4263625,262144,0,4525764,4263620,262144,0,4525786,4263642,262144,0,4525766,4263622,262144,0,4525215,4263071,262144,0,4525232,4263088,262144,0,4525476,4263332,262144,0,4525133,4262989,262144,0,4525768,4263624,262144,0,4525763,4263619,262144,0,4525781,4263637,262144,0,4525768,4263624,262144,0,4525215,4263071,262144,0,4525229,4263085,262144,0,4525479,4263335,262144,0,4525132,4262988,262144,0,1186,72105885,22797,0,4096,32768,1930640004871651,1930750890801588,1930750895226524,1930640010467355
25,__amd_rocclr_copyBuffer.kd,2,0,119,4684,4684,1024,512,0,0,16,0,32,64,0x0,0x76a4e501ba80,32,254,19968,752,256,0,0,0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,1394,131474,22623,0,2,16,1930640015043845,1930750898336117,1930750898339441,1930640015656380
26,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,122,4684,4684,2097152,512,32768,0,4,132,32,64,0x0,0x76a4e45060c0,2195456,2751808,220307264,532185088,391905280,0,0,0,0.0,0.0,1474.0,22020096.0,0.0,0.0,0.0,22020096.0,4525830,4263686,262144,0,4525824,4263680,262144,0,4525841,4263697,262144,0,4525828,4263684,262144,0,4525276,4263132,262144,0,4525292,4263148,262144,0,4525549,4263405,262144,0,4525189,4263045,262144,0,4525832,4263688,262144,0,4525824,4263680,262144,0,4525843,4263699,262144,0,4525828,4263684,262144,0,4525278,4263134,262144,0,4525294,4263150,262144,0,4525549,4263405,262144,0,4525189,4263045,262144,0,1186,72150010,22154,0,4096,32768,1930640016830594,1930750898362996,1930750902787251,1930640022416013
27,__amd_rocclr_copyBuffer.kd,2,0,128,4684,4684,1024,512,0,0,16,0,32,64,0x0,0x76a4e501ba80,32,292,23280,752,256,0,0,0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,1394,132700,22860,0,2,16,1930640027041734,1930750905889953,1930750905892758,1930640027624855
28,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,131,4684,4684,2097152,512,32768,0,4,132,32,64,0x0,0x76a4e45060c0,2195456,2707690,216722096,532185088,391905280,0,0,0,0.0,0.0,1577.0,22020096.0,0.0,0.0,0.0,22020096.0,4525781,4263637,262144,0,4525776,4263632,262144,0,4525794,4263650,262144,0,4525780,4263636,262144,0,4525227,4263083,262144,0,4525245,4263101,262144,0,4525493,4263349,262144,0,4525140,4262996,262144,0,4525783,4263639,262144,0,4525776,4263632,262144,0,4525794,4263650,262144,0,4525780,4263636,262144,0,4525228,4263084,262144,0,4525241,4263097,262144,0,4525494,4263350,262144,0,4525140,4262996,262144,0,1186,72151740,21748,0,4096,32768,1930640028825619,1930750905914269,1930750910341729,1930640034399221
29,__amd_rocclr_copyBuffer.kd,2,0,137,4684,4684,1024,512,0,0,16,0,32,64,0x0,0x76a4e501ba80,32,310,24944,752,256,0,0,0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,1394,131530,22548,0,2,16,1930640038975119,1930750913443310,1930750913446234,1930640039554555
30,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,140,4684,4684,2097152,512,32768,0,4,132,32,64,0x0,0x76a4e45060c0,2195456,2743542,219438176,532185088,391905280,0,0,0,0.0,0.0,1468.0,22020096.0,0.0,0.0,0.0,22020096.0,4525829,4263685,262144,0,4525824,4263680,262144,0,4525842,4263698,262144,0,4525828,4263684,262144,0,4525275,4263131,262144,0,4525290,4263146,262144,0,4525536,4263392,262144,0,4525194,4263050,262144,0,4525828,4263684,262144,0,4525824,4263680,262144,0,4525843,4263699,262144,0,4525828,4263684,262144,0,4525276,4263132,262144,0,4525288,4263144,262144,0,4525537,4263393,262144,0,4525195,4263051,262144,0,1186,72156420,21782,0,4096,32768,1930640040703001,1930750913468066,1930750917890077,1930640046246919
31,__amd_rocclr_copyBuffer.kd,2,0,146,4684,4684,1024,512,0,0,16,0,32,64,0x0,0x76a4e501ba80,32,302,23120,752,256,0,0,0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,1394,133494,22892,0,2,16,1930640050904528,1930750920991538,1930750920994703,1930640051484524
32,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,149,4684,4684,2097152,512,32768,0,4,132,32,64,0x0,0x76a4e45060c0,2195456,2750778,219941904,532185088,391905280,0,0,0,0.0,0.0,1497.0,22020096.0,0.0,0.0,0.0,22020096.0,4525769,4263625,262144,0,4525764,4263620,262144,0,4525779,4263635,262144,0,4525768,4263624,262144,0,4525215,4263071,262144,0,4525232,4263088,262144,0,4525482,4263338,262144,0,4525128,4262984,262144,0,4525770,4263626,262144,0,4525764,4263620,262144,0,4525782,4263638,262144,0,4525768,4263624,262144,0,4525216,4263072,262144,0,4525228,4263084,262144,0,4525487,4263343,262144,0,4525126,4262982,262144,0,1186,72149779,20756,0,4096,32768,1930640052635785,1930750921018818,1930750925445637,1930640058183398
33,"ref_kernel(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, int, int, int) [clone .kd]",2,0,151,4684,4684,67108864,256,0,0,52,4,48,64,0x0,0x76a4e4505fc0,4194304,3709606,296281360,143135866880,77938556928,0,0,0,0.0,0.0,139536.0,17315135488.0,0.0,50331648.0,0.0,17315135488.0,942560027,941511451,1048576,0,942536557,941487981,1048576,0,942575159,941526583,1048576,0,942546870,941498294,1048576,0,942588264,941539688,1048576,0,942560059,941511483,1048576,0,942616799,941568223,1048576,0,942588618,941540042,1048576,0,942562369,941513793,1048576,0,942545310,941496734,1048576,0,942575735,941527159,1048576,0,942554045,941505469,1048576,0,942604564,941555988,1048576,0,942572278,941523702,1048576,0,942619175,941570599,1048576,0,942602433,941553857,1048576,0,2162,2869148340,27563,0,262144,1048576,1930640059387426,1930750925516017,1930751141927685,1930640276388377
