"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,6400,"; _Z8micro_tk13micro_globals",0,0,0,0,"micro_tk(micro_globals)"
2,6400,"s_cmp_lg_u32 0, -1",56,3144,2920,7192,""
2,6404,"s_cselect_b32 s22, 0, 0",56,224,0,0,""
2,6408,"s_and_b32 s8, s22, -16",56,224,0,0,""
2,6412,"s_load_dwordx2 s[18:19], s[0:1], 0x0",56,224,0,0,""
2,6420,"s_load_dwordx2 s[14:15], s[0:1], 0x20",56,224,0,0,""
2,6428,"s_load_dwordx2 s[4:5], s[0:1], 0x30",56,224,0,0,""
2,6436,"s_load_dwordx2 s[6:7], s[0:1], 0x50",56,1028,804,0,""
2,6444,"s_add_i32 s23, s8, 16",56,2432,2208,0,""
2,6448,"s_load_dwordx2 s[8:9], s[0:1], 0x60",56,1324,1100,0,""
2,6456,"s_load_dwordx2 s[10:11], s[0:1], 0x80",56,240,16,0,""
2,6464,"s_load_dwordx2 s[20:21], s[0:1], 0x90",56,232,8,0,""
2,6472,"s_mov_b32 s17, 0",56,224,0,0,""
2,6476,"s_and_b32 s16, s22, 15",56,512,288,0,""
2,6480,"s_cmp_eq_u64 s[16:17], 0",56,224,0,0,""
2,6484,"s_cselect_b32 s23, s22, s23",56,516,288,0,""
2,6488,"s_waitcnt lgkmcnt(0)",56,3544,3544,0,""
2,6492,"s_mul_i32 s0, s20, s3",56,604,380,0,""
2,6496,"s_add_i32 s0, s0, s2",56,272,48,0,""
2,6500,"s_ashr_i32 s2, s0, 31",56,224,0,0,""
2,6504,"s_lshr_b32 s2, s2, 29",56,4064,3840,0,""
2,6508,"s_add_i32 s2, s0, s2",56,320,96,0,""
2,6512,"s_mul_i32 s1, s21, s20",56,272,48,0,""
2,6516,"s_ashr_i32 s3, s2, 3",56,320,96,0,""
2,6520,"s_and_b32 s2, s2, -8",56,272,48,0,""
2,6524,"s_sub_i32 s0, s0, s2",56,224,0,0,""
2,6528,"s_ashr_i32 s2, s1, 31",56,224,0,0,""
2,6532,"s_lshr_b32 s2, s2, 29",56,224,0,0,""
2,6536,"s_add_i32 s1, s1, s2",56,224,0,0,""
2,6540,"s_ashr_i32 s1, s1, 3",56,864,640,0,""
2,6544,"s_mul_i32 s0, s0, s1",56,240,16,0,""
2,6548,"s_add_i32 s0, s0, s3",56,224,0,0,""
2,6552,"s_ashr_i32 s1, s0, 31",56,240,16,0,""
2,6556,"s_lshr_b32 s1, s1, 23",56,224,0,0,""
2,6560,"s_add_i32 s1, s0, s1",56,224,0,0,""
2,6564,"s_ashr_i32 s2, s1, 9",56,224,0,0,""
2,6568,"s_lshl_b32 s2, s2, 4",56,224,0,0,""
2,6572,"s_sub_i32 s3, 64, s2",56,224,0,0,""
2,6576,"s_min_i32 s3, s3, 16",56,224,0,0,""
2,6580,"s_abs_i32 s20, s3",56,228,0,0,""
2,6584,"v_cvt_f32_u32_e32 v2, s20",56,720,496,0,""
2,6588,"s_sub_i32 s22, 0, s20",56,224,0,0,""
2,6592,"s_add_i32 s24, s23, 0x4000",56,224,0,0,""
2,6600,"s_and_b32 s1, s1, 0xfffffe00",56,232,0,0,""
2,6608,"v_rcp_iflag_f32_e32 v2, v2",56,984,92,0,""
2,6612,"s_and_b32 s21, s24, -16",56,224,0,4,""
2,6616,"s_sub_i32 s0, s0, s1",56,224,0,0,""
2,6620,"s_add_i32 s25, s21, 16",56,224,0,0,""
